GID	GENENAME
70167	ostta11g01130
70168	ostta11g01140
70169	ostta11g01150
70170	ostta11g01160
70171	ostta11g01170
70172	ostta11g01180
70173	ostta11g01190
70174	ostta11g01200
70175	ostta11g01210
70176	ostta11g01220
70177	ostta11g01230
70178	ostta11g01240
70179	ostta11g01250
70180	ostta11g01260
70181	ostta11g01270
70182	ostta11g01275
70183	ostta11g01280
70184	ostta11g01290
70185	ostta11g01300
70186	ostta11g01310
70187	ostta11g01320
70188	ostta11g01325
70189	ostta11g01330
70190	ostta11g01340
70191	ostta11g01350
70192	ostta11g01360
70193	ostta11g01370
70194	ostta11g01380
70195	ostta11g01390
70196	ostta11g01400
70197	ostta11g01410
70198	ostta11g01420
70199	ostta11g01430
70200	ostta11g01440
70201	ostta11g01450
70202	ostta11g01455
70203	ostta11g01460
70204	ostta11g01470
70205	ostta11g01480
70206	ostta11g01490
70207	ostta11g01500
70208	ostta11g01510
70209	ostta11g01520
70210	ostta11g01530
70211	ostta11g01540
70212	ostta11g01550
70213	ostta11g01560
70214	ostta11g01570
70215	ostta11g01580
70216	ostta11g01590
70217	ostta11g01600
70218	ostta11g01610
70219	ostta11g01620
70220	ostta11g01630
70221	ostta11g01640
70222	ostta11g01650
70223	ostta11g01660
70224	ostta11g01670
70225	ostta11g01680
70226	ostta11g01690
70227	ostta11g01700
70228	ostta11g01710
70229	ostta11g01720
70230	ostta11g01730
70231	ostta11g01740
70232	ostta11g01750
70233	ostta11g01760
70234	ostta11g01770
70235	ostta11g01780
70236	ostta11g01790
70237	ostta11g01800
70238	ostta11g01810
70239	ostta11g01820
70240	ostta11g01830
70241	ostta11g01840
70242	ostta11g01850
70243	ostta11g01860
70244	ostta11g01870
70245	ostta11g01880
70246	ostta11g01890
70247	ostta11g01895
70248	ostta11g01900
70249	ostta11g01910
70250	ostta11g01915
70251	ostta11g01920
70252	ostta11g01930
70253	ostta11g01940
70254	ostta11g01950
70255	ostta11g01960
70256	ostta11g01970
70257	ostta11g01980
70258	ostta11g01990
70259	ostta11g02000
70260	ostta11g02010
70261	ostta11g02020
70262	ostta11g02030
70263	ostta11g02040
70264	ostta11g02050
70265	ostta11g02060
70266	ostta11g02070
70267	ostta11g02080
70268	ostta11g02090
70269	ostta11g02095
70270	ostta11g02100
70271	ostta11g02110
70272	ostta11g02120
70273	ostta11g02140
70274	ostta11g02150
70275	ostta11g02160
70276	ostta11g02170
70277	ostta11g02180
70278	ostta11g02190
70279	ostta11g02200
70280	ostta11g02210
70281	ostta11g02220
70282	ostta11g02230
70283	ostta11g02240
70284	ostta11g02250
70285	ostta11g02260
70286	ostta11g02270
70287	ostta11g02280
